Date,Price Change 1 Day Percent  (L1)
7/12/2018,
7/11/2018,-0.71
7/10/2018,0.35
7/9/2018,0.88
7/6/2018,0.85
7/5/2018,0.86
7/3/2018,-0.49
7/2/2018,0.31
6/29/2018,0.08
6/28/2018,0.62
6/27/2018,-0.86
6/26/2018,0.22
6/25/2018,-1.37
6/22/2018,0.19
6/21/2018,-0.63
6/20/2018,0.17
6/19/2018,-0.4
6/18/2018,-0.21
6/15/2018,-0.1
6/14/2018,0.25
6/13/2018,-0.4
6/12/2018,0.17
6/11/2018,0.11
6/8/2018,0.31
6/7/2018,-0.07
6/6/2018,0.86
6/5/2018,0.07
6/4/2018,0.45
6/1/2018,1.08
5/31/2018,-0.69
5/30/2018,1.27
5/29/2018,-1.16
5/25/2018,-0.24
5/24/2018,-0.2
5/23/2018,0.32
5/22/2018,-0.31
5/21/2018,0.74
5/18/2018,-0.26
5/17/2018,-0.09
5/16/2018,0.41
5/15/2018,-0.68
5/14/2018,0.09
5/11/2018,0.17
5/10/2018,0.94
5/9/2018,0.97
5/8/2018,-0.03
5/7/2018,0.35
5/4/2018,1.28
5/3/2018,-0.23
5/2/2018,-0.72
5/1/2018,0.25
4/30/2018,-0.82
4/27/2018,0.11
4/26/2018,1.04
4/25/2018,0.18
4/24/2018,-1.34
4/23/2018,0.01
4/20/2018,-0.85
4/19/2018,-0.57
4/18/2018,0.08
4/17/2018,1.07
4/16/2018,0.81
4/13/2018,-0.29
4/12/2018,0.83
4/11/2018,-0.55
4/10/2018,1.67
4/9/2018,0.33
4/6/2018,-2.19
4/5/2018,0.69
4/4/2018,1.16
4/3/2018,1.26
4/2/2018,-2.23
3/29/2018,1.38
3/28/2018,-0.29
3/27/2018,-1.73
3/26/2018,2.72
3/23/2018,-2.1
3/22/2018,-2.52
3/21/2018,-0.18
3/20/2018,0.15
3/19/2018,-1.42
3/16/2018,0.17
3/15/2018,-0.08
3/14/2018,-0.57
3/13/2018,-0.64
3/12/2018,-0.13
3/9/2018,1.74
3/8/2018,0.45
3/7/2018,-0.05
3/6/2018,0.26
3/5/2018,1.1
3/2/2018,0.51
3/1/2018,-1.33
2/28/2018,-1.11
2/27/2018,-1.27
2/26/2018,1.18
2/23/2018,1.6
2/22/2018,0.1
2/21/2018,-0.55
2/20/2018,-0.58
2/16/2018,0.04
2/15/2018,1.21
2/14/2018,1.34
2/13/2018,0.26
2/12/2018,1.39
2/9/2018,1.49
2/8/2018,-3.75
2/7/2018,-0.5
2/6/2018,1.74
2/5/2018,-4.1
2/2/2018,-2.12
2/1/2018,-0.06
1/31/2018,0.05
1/30/2018,-1.09
1/29/2018,-0.67
1/26/2018,1.18
1/25/2018,0.06
1/24/2018,-0.06
1/23/2018,0.22
1/22/2018,0.81
1/19/2018,0.44
1/18/2018,-0.16
1/17/2018,0.94
1/16/2018,-0.35
1/12/2018,0.67
1/11/2018,0.7
1/10/2018,-0.11
1/9/2018,0.13
1/8/2018,0.17
1/5/2018,0.7
1/4/2018,0.4
1/3/2018,0.64
1/2/2018,0.83
12/29/2017,-0.52
12/28/2017,0.18
12/27/2017,0.08
12/26/2017,-0.11
12/22/2017,-0.05
12/21/2017,0.2
12/20/2017,-0.08
12/19/2017,-0.32
12/18/2017,0.54
12/15/2017,0.9
12/14/2017,-0.41
12/13/2017,-0.05
12/12/2017,0.15
12/11/2017,0.32
12/8/2017,0.55
12/7/2017,0.29
12/6/2017,-0.01
12/5/2017,-0.37
12/4/2017,-0.11
12/1/2017,-0.2
11/30/2017,0.82
11/29/2017,-0.04
11/28/2017,0.98
11/27/2017,-0.04
11/24/2017,0.21
11/22/2017,-0.08
11/21/2017,0.65
11/20/2017,0.13
11/17/2017,-0.26
11/16/2017,0.82
11/15/2017,-0.55
11/14/2017,-0.23
11/13/2017,0.1
